OldClass,NewClass,UsedInFile,LineNumber,UsageType
UserService,heeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeer,UserController.java,10,FIELD
UserService,heeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeer,UserController.java,13,PARAMETER
UserService,heeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeer,UserController.java,23,LOCAL_VAR
UserService,heeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeer,UserController.java,23,TYPE
UserService,heeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeer,UserController.java,3,IMPORT
UserService,heeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeer,OrderService.java,10,FIELD
UserService,heeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeer,OrderService.java,13,PARAMETER
UserService,heeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeer,OrderService.java,23,LOCAL_VAR
UserService,heeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeer,OrderService.java,23,TYPE
UserService,heeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeer,UserService.java,8,TYPE
