OldName,NewName,UsedInFile,LineNumber,UsageType
UserService,dsfjjgjg,UserController.java,10,FIELD
UserService,dsfjjgjg,UserController.java,13,PARAMETER
UserService,dsfjjgjg,UserController.java,23,LOCAL_VAR
UserService,dsfjjgjg,UserController.java,23,TYPE
UserService,dsfjjgjg,UserController.java,3,IMPORT
UserService,dsfjjgjg,OrderService.java,10,FIELD
UserService,dsfjjgjg,OrderService.java,13,PARAMETER
UserService,dsfjjgjg,OrderService.java,23,LOCAL_VAR
UserService,dsfjjgjg,OrderService.java,23,TYPE
UserService,dsfjjgjg,UserService.java,8,TYPE
systemOutExample,systeExample,AllRulesValidation.java,26,VARIABLE
userService,gsgh,UserController.java,10,VARIABLE
userService,gsgh,UserController.java,13,VARIABLE
userService,gsgh,UserController.java,14,VARIABLE
userService,gsgh,UserController.java,20,VARIABLE
userService,gsgh,OrderService.java,10,VARIABLE
userService,gsgh,OrderService.java,13,VARIABLE
userService,gsgh,OrderService.java,14,VARIABLE
userService,gsgh,OrderService.java,20,VARIABLE
